,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/hdd/0/temperature/0,/hdd/0/load/0,AVG CPU Temperature
Time,CPU Core #1,CPU Core #2,CPU Total,CPU Core #1,CPU Core #2,CPU Package,CPU Core #1,CPU Core #2,CPU Package,CPU Cores,CPU Graphics,Bus Speed,Memory,Used Memory,Available Memory,Temperature,Used Space,
12/2/2021 0:00,0,1.49253607,0.746268034,41,41,41,1197.28638,1197.28638,1.757524,0.2691878,0.000874318,99.7738647,25.80037,2.03262329,5.84564972,48,81.29218,41
12/2/2021 0:05,0,1.49253607,0.746268034,40,40,40,1197.28638,1197.28638,1.68141329,0.2091556,0.000865249,99.7738647,25.8605957,2.03736877,5.840904,48,81.2922058,40
12/2/2021 0:10,0,1.53846145,0.7692337,41,41,41,1197.28625,1197.28625,1.78053176,0.2904952,0.000778767,99.77386,25.8989029,2.0403862,5.837887,48,81.29224,41
12/2/2021 0:15,0,1.53846145,0.7692337,39,39,40,1197.28625,1197.28625,1.69206142,0.225522667,0.000905532,99.77386,25.77703,2.03078461,5.8474884,49,81.29224,39.33333333
12/2/2021 0:20,0,1.5625,0.78125,37,37,38,1197.28662,1197.28662,1.66947043,0.21313493,0.000900527,99.77389,25.76255,2.029644,5.848629,48,81.29224,37.33333333
12/2/2021 0:25,0,1.5625,0.78125,37,37,37,1197.28638,1197.28638,1.6722194,0.215723336,0.000878648,99.77386,25.8070984,2.03315353,5.84511948,47,81.29229,37
12/2/2021 0:30,0,1.53846145,0.7692337,39,39,40,1197.28638,1197.28638,1.69595921,0.230453745,0.001055329,99.77386,25.93309,2.04307938,5.83519363,47,81.29229,39.33333333
12/2/2021 0:35,0,1.53846145,0.7692337,38,38,39,1197.28638,1197.28638,1.680746,0.2172027,0.001057168,99.77387,25.68711,2.02370071,5.8545723,46,81.29227,38.33333333
12/2/2021 0:40,0,2.272725,1.13636255,40,40,41,1197.28625,1197.28625,1.713687,0.233483508,0.000984666,99.77386,25.9483871,2.04428482,5.833988,47,81.29229,40.33333333
12/2/2021 0:45,0,1.53846145,0.7692337,40,40,41,1197.28638,1197.28638,1.78158438,0.289118379,0.000896538,99.7738647,25.4962387,2.00866318,5.86961,48,81.29231,40.33333333
12/2/2021 0:50,0,1.53846145,0.7692337,41,41,42,1197.286,1197.286,1.7006098,0.225033641,0.000766494,99.7738342,25.627655,2.01901627,5.85925674,46,81.29232,41.33333333
12/2/2021 0:55,0,1.53846145,0.7692337,42,42,42,1197.28638,1197.28638,1.67988312,0.208047345,0.000901418,99.7738647,25.6259079,2.018879,5.859394,44,81.29232,42
12/2/2021 1:00,0,1.5625,0.78125,41,41,42,1197.28625,1197.28625,1.775045,0.283242315,0.000911284,99.77385,25.6235275,2.018692,5.859581,42,81.2923355,41.33333333
12/2/2021 1:05,0,1.51515007,0.757575035,37,37,37,1197.28638,1197.28638,1.68505216,0.225610718,0.00086932,99.7738647,25.7437134,2.02816,5.850113,40,81.29238,37
12/2/2021 1:10,0,1.5625,0.78125,35,35,37,1197.28638,1197.28638,1.7386328,0.275643349,0.001024081,99.77386,25.774559,2.03059,5.847683,38,81.29238,35.66666667
12/2/2021 1:15,0,1.51515007,0.757575035,39,39,40,1197.286,1197.286,1.71499276,0.244829431,0.000878995,99.7738342,25.66697,2.0221138,5.856159,38,81.29239,39.33333333
12/2/2021 1:20,0,1.53846145,0.7692337,39,39,40,1197.2865,1197.2865,1.67602015,0.211712644,0.000889985,99.77388,25.6607742,2.02162552,5.85664749,37,81.2924347,39.33333333
12/2/2021 1:25,0,1.53846145,0.7692337,40,40,41,1197.28625,1197.28625,1.76789582,0.278653115,0.00109955,99.77386,25.7164536,2.02601242,5.85226059,37,81.29245,40.33333333
12/2/2021 1:30,0,2.23881,1.119405,40,40,41,1197.28613,1197.28613,1.76784217,0.274651766,0.000884452,99.77385,25.6899719,2.02392578,5.854347,37,81.29245,40.33333333
12/2/2021 1:35,0,1.5625,0.78125,39,39,40,1197.28625,1197.28625,1.70662224,0.239576921,0.000897862,99.77386,25.6907425,2.02398682,5.854286,38,81.29245,39.33333333
12/2/2021 1:40,0.78125,1.5625,1.171875,41,41,42,1197.28625,1197.28625,1.99793708,0.478589237,0.001067877,99.77386,26.1472473,2.05995178,5.818321,39,81.29255,41.33333333
12/2/2021 1:45,0,1.51515007,0.757575035,36,36,37,1197.28613,1197.28613,1.75677848,0.282963246,0.000866769,99.77384,25.8545,2.03688812,5.841385,41,81.29204,36.33333333
12/2/2021 1:50,0,2.23881,1.119405,36,36,36,1197.28613,1197.28613,1.75647306,0.279144,0.001025242,99.77384,25.8250122,2.034565,5.843708,39,81.29204,36
12/2/2021 1:55,0,1.49253607,0.746268034,38,38,39,1197.28625,1197.28625,1.68717122,0.226041988,0.000850278,99.77386,25.6592712,2.02150726,5.85676575,37,81.29205,38.33333333
12/2/2021 2:00,0,2.34375,1.171875,38,38,39,1197.28613,1197.28613,1.68782079,0.2155532,0.000793766,99.77384,25.7540283,2.02897263,5.84930038,37,81.29207,38.33333333
12/2/2021 2:05,0,1.53846145,0.7692337,40,40,40,1197.28613,1197.28613,1.71551609,0.242645,0.000886882,99.77385,25.9147339,2.04163361,5.8366394,37,81.29208,40
12/2/2021 2:10,0,1.5625,0.78125,40,40,40,1197.28613,1197.28613,1.78274584,0.2902609,0.001052776,99.77385,25.91658,2.04177856,5.83649445,37,81.2921,40
12/2/2021 2:15,0,1.53846145,0.7692337,40,40,41,1197.28589,1197.28589,1.70630252,0.231527731,0.000909438,99.77383,25.83683,2.03549576,5.84277725,37,81.2921,40.33333333
12/2/2021 2:20,0,1.53846145,0.7692337,39,39,40,1197.28613,1197.28613,1.69699359,0.227011427,0.001047115,99.77385,25.8161545,2.033867,5.844406,37,81.29213,39.33333333
12/2/2021 2:25,0,1.53846145,0.7692337,40,40,40,1197.28638,1197.28638,1.68040013,0.211493358,0.000905624,99.7738647,25.86438,2.03766632,5.84060669,37,81.29214,40
12/2/2021 2:30,0,1.53846145,0.7692337,41,41,41,1197.28638,1197.28638,1.765817,0.2750456,0.000902331,99.7738647,25.8416138,2.03587341,5.8423996,37,81.29215,41
12/2/2021 2:35,0,1.51515007,0.757575035,41,41,41,1197.28638,1197.28638,1.71520889,0.237893879,0.000889877,99.7738647,25.8209,2.03424072,5.84403229,37,81.29215,41
12/2/2021 2:40,0,1.53846145,0.7692337,41,41,42,1197.28625,1197.28625,1.71998882,0.2419879,0.001087017,99.77385,26.0486679,2.052185,5.826088,38,81.2922,41.33333333
12/2/2021 2:45,0,2.272725,1.13636255,38,38,38,1197.2865,1197.2865,1.7764461,0.291182846,0.000878537,99.77387,25.86898,2.03802872,5.84024429,37,81.2922058,38
12/2/2021 2:50,0,2.272725,1.13636255,37,37,37,1197.28638,1197.28638,1.67753255,0.216272861,0.001027106,99.7738647,25.8546448,2.03689957,5.84137344,37,81.29222,37
12/2/2021 2:55,0,1.51515007,0.757575035,37,37,37,1197.28638,1197.28638,1.66983914,0.2123046,0.001037222,99.7738647,25.87014,2.03812027,5.84015274,36,81.29224,37
12/2/2021 3:00,0,1.53846145,0.7692337,39,39,40,1197.2865,1197.2865,1.67645621,0.2128528,0.000886386,99.77387,25.8427811,2.035965,5.842308,36,81.29225,39.33333333
12/2/2021 3:05,0,1.51515007,0.757575035,40,40,40,1197.28638,1197.28638,1.7422533,0.270348638,0.000871806,99.77387,25.9216156,2.04217529,5.83609772,37,81.29227,40
